ticker,instrumento,total_registros,fecha_inicio,fecha_fin,cobertura_pct
AAPL,EQUITY,1256,2021-05-07,2026-05-07,100.0
AMZN,EQUITY,1256,2021-05-07,2026-05-07,100.0
AVAL,EQUITY,1256,2021-05-07,2026-05-07,100.0
BBVA,EQUITY,1256,2021-05-07,2026-05-07,100.0
CIB,EQUITY,1256,2021-05-07,2026-05-07,100.0
EC,EQUITY,1256,2021-05-07,2026-05-07,100.0
EEM,ETF,1256,2021-05-07,2026-05-07,100.0
GLD,ETF,1256,2021-05-07,2026-05-07,100.0
GOOGL,EQUITY,1256,2021-05-07,2026-05-07,100.0
IWM,ETF,1256,2021-05-07,2026-05-07,100.0
JPM,EQUITY,1256,2021-05-07,2026-05-07,100.0
MSFT,EQUITY,1256,2021-05-07,2026-05-07,100.0
NVDA,EQUITY,1256,2021-05-07,2026-05-07,100.0
QQQ,ETF,1256,2021-05-07,2026-05-07,100.0
SPY,ETF,1256,2021-05-07,2026-05-07,100.0
TSLA,EQUITY,1256,2021-05-07,2026-05-07,100.0
UBER,EQUITY,1256,2021-05-07,2026-05-07,100.0
VOO,ETF,1256,2021-05-07,2026-05-07,100.0
XLF,ETF,1256,2021-05-07,2026-05-07,100.0
XOM,EQUITY,1256,2021-05-07,2026-05-07,100.0
