rank,ticker,instrument_type,annualized_vol_pct,daily_vol_pct,risk_category,n_observations,date_start,date_end
1,TSLA,EQUITY,58.94,3.7132,Agresivo,1256,2021-05-07,2026-05-07
2,NVDA,EQUITY,51.68,3.2558,Agresivo,1256,2021-05-07,2026-05-07
3,UBER,EQUITY,44.96,2.8321,Agresivo,1256,2021-05-07,2026-05-07
4,EC,EQUITY,38.88,2.4492,Moderado,1256,2021-05-07,2026-05-07
5,AVAL,EQUITY,36.72,2.3134,Moderado,1256,2021-05-07,2026-05-07
6,AMZN,EQUITY,35.44,2.2326,Moderado,1256,2021-05-07,2026-05-07
7,BBVA,EQUITY,33.49,2.11,Moderado,1256,2021-05-07,2026-05-07
8,CIB,EQUITY,32.63,2.0556,Moderado,1256,2021-05-07,2026-05-07
9,GOOGL,EQUITY,31.22,1.9668,Moderado,1256,2021-05-07,2026-05-07
10,AAPL,EQUITY,27.5,1.7326,Moderado,1256,2021-05-07,2026-05-07
11,XOM,EQUITY,26.79,1.6876,Moderado,1256,2021-05-07,2026-05-07
12,MSFT,EQUITY,26.43,1.6647,Moderado,1256,2021-05-07,2026-05-07
13,JPM,EQUITY,24.42,1.5384,Moderado,1256,2021-05-07,2026-05-07
14,IWM,ETF,22.6,1.4237,Moderado,1256,2021-05-07,2026-05-07
15,QQQ,ETF,22.42,1.4126,Moderado,1256,2021-05-07,2026-05-07
16,EEM,ETF,18.89,1.1902,Conservador,1256,2021-05-07,2026-05-07
17,XLF,ETF,18.64,1.1743,Conservador,1256,2021-05-07,2026-05-07
18,GLD,ETF,17.94,1.1303,Conservador,1256,2021-05-07,2026-05-07
19,SPY,ETF,17.15,1.0801,Conservador,1256,2021-05-07,2026-05-07
20,VOO,ETF,16.85,1.0616,Conservador,1256,2021-05-07,2026-05-07
